"","CDS_TRUE_ID","CDS_Region","CDS_Begin","CDS_End","CDS_Orientation","CDS_ID","CDS_Parent","CDS_Dbxref","CDS_Name","CDS_Note","Locus.tag","CDS_product","CDS_protein_id"
"303","cds-ABG42941.1_207306.208199","CDS",207306,208199,"minus","cds-ABG42941.1","gene-CyHV3_ORF114","NCBI_GP:ABG42941.1","ABG42941.1",NA,"CyHV3_ORF114","membrane protein ORF114","ABG42941.1"
"306","cds-ABG42942.1_208227.210566","CDS",208227,210566,"plus","cds-ABG42942.1","gene-CyHV3_ORF115","NCBI_GP:ABG42942.1","ABG42942.1",NA,"CyHV3_ORF115","membrane protein ORF115","ABG42942.1"
"309","cds-ABG42944.1_211553.211960","CDS",211553,211960,"minus","cds-ABG42944.1","gene-CyHV3_ORF117","NCBI_GP:ABG42944.1","ABG42944.1",NA,"CyHV3_ORF117","protein ORF117","ABG42944.1"
"311","cds-ABG42943.1_210650.211504","CDS",210650,211504,"minus","cds-ABG42943.1","gene-CyHV3_ORF116","NCBI_GP:ABG42943.1","ABG42943.1",NA,"CyHV3_ORF116","membrane protein ORF116","ABG42943.1"
"314","cds-ABG42945.1_211985.212998","CDS",211985,212998,"plus","cds-ABG42945.1","gene-CyHV3_ORF118","NCBI_GP:ABG42945.1","ABG42945.1",NA,"CyHV3_ORF118","protein ORF118","ABG42945.1"
"316","cds-ABG42946.2_213084.213437","CDS",213084,213437,"plus","cds-ABG42946.2","gene-CyHV3_ORF119","NCBI_GP:ABG42946.2","ABG42946.2",NA,"CyHV3_ORF119","protein ORF119","ABG42946.2"
"318","cds-ABG42947.1_213535.214323","CDS",213535,214323,"plus","cds-ABG42947.1","gene-CyHV3_ORF120","NCBI_GP:ABG42947.1","ABG42947.1",NA,"CyHV3_ORF120","protein ORF120","ABG42947.1"
"320","cds-ABG42948.1_214501.215400","CDS",214501,215400,"plus","cds-ABG42948.1","gene-CyHV3_ORF121","NCBI_GP:ABG42948.1","ABG42948.1",NA,"CyHV3_ORF121","protein ORF121","ABG42948.1"
"323","cds-ABG42949.1_215654.216547","CDS",215654,216547,"plus","cds-ABG42949.1","gene-CyHV3_ORF122","NCBI_GP:ABG42949.1","ABG42949.1",NA,"CyHV3_ORF122","protein ORF122","ABG42949.1"
"325","cds-ABG42950.1_216590.217411","CDS",216590,217411,"plus","cds-ABG42950.1","gene-CyHV3_ORF123","NCBI_GP:ABG42950.1","ABG42950.1",NA,"CyHV3_ORF123","deoxyuridine triphosphatase","ABG42950.1"
"328","cds-ABG42951.1_217559.218404","CDS",217559,218404,"plus","cds-ABG42951.1","gene-CyHV3_ORF124","NCBI_GP:ABG42951.1","ABG42951.1",NA,"CyHV3_ORF124","membrane protein ORF124","ABG42951.1"
"331","cds-ABG42952.1_218607.219173","CDS",218607,219173,"plus","cds-ABG42952.1","gene-CyHV3_ORF125","NCBI_GP:ABG42952.1","ABG42952.1",NA,"CyHV3_ORF125","protein ORF125","ABG42952.1"
"333","cds-ABG42953.1_219317.220138","CDS",219317,220138,"plus","cds-ABG42953.1","gene-CyHV3_ORF126","NCBI_GP:ABG42953.1","ABG42953.1",NA,"CyHV3_ORF126","membrane protein ORF126","ABG42953.1"
"335","cds-ABG42954.1_220216.220776","CDS",220216,220776,"plus","cds-ABG42954.1","gene-CyHV3_ORF127","NCBI_GP:ABG42954.1","ABG42954.1",NA,"CyHV3_ORF127","protein ORF127","ABG42954.1"
"338","cds-ABG42956.1_222419.223687","CDS",222419,223687,"minus","cds-ABG42956.1","gene-CyHV3_ORF129","NCBI_GP:ABG42956.1","ABG42956.1","possibly ORF2 family","CyHV3_ORF129","protein ORF129","ABG42956.1"
"340","cds-ABG42955.1_220933.222291","CDS",220933,222291,"minus","cds-ABG42955.1","gene-CyHV3_ORF128","NCBI_GP:ABG42955.1","ABG42955.1","RING family","CyHV3_ORF128","protein ORF128","ABG42955.1"
"343","cds-ABG42958.2_226921.226993","CDS",226921,226993,"minus","cds-ABG42958.2","gene-CyHV3_ORF131","NCBI_GP:ABG42958.2","ABG42958.2","exons 1 and 2 are similar to exons 1 and 2 of Danio rerio LOC562542","CyHV3_ORF131","membrane protein ORF131","ABG42958.2"
"344","cds-ABG42958.2_226508.226792","CDS",226508,226792,"minus","cds-ABG42958.2","gene-CyHV3_ORF131","NCBI_GP:ABG42958.2","ABG42958.2","exons 1 and 2 are similar to exons 1 and 2 of Danio rerio LOC562542","CyHV3_ORF131","membrane protein ORF131","ABG42958.2"
"345","cds-ABG42958.2_225485.226416","CDS",225485,226416,"minus","cds-ABG42958.2","gene-CyHV3_ORF131","NCBI_GP:ABG42958.2","ABG42958.2","exons 1 and 2 are similar to exons 1 and 2 of Danio rerio LOC562542","CyHV3_ORF131","membrane protein ORF131","ABG42958.2"
"347","cds-ABG42957.1_223870.225366","CDS",223870,225366,"minus","cds-ABG42957.1","gene-CyHV3_ORF130","NCBI_GP:ABG42957.1","ABG42957.1","ORF2 family","CyHV3_ORF130","protein ORF130","ABG42957.1"
"350","cds-ABG42959.1_227444.227956","CDS",227444,227956,"minus","cds-ABG42959.1","gene-CyHV3_ORF132","NCBI_GP:ABG42959.1","ABG42959.1",NA,"CyHV3_ORF132","membrane protein ORF132","ABG42959.1"
"353","cds-ABG42960.1_228226.229212","CDS",228226,229212,"plus","cds-ABG42960.1","gene-CyHV3_ORF133","NCBI_GP:ABG42960.1","ABG42960.1",NA,"CyHV3_ORF133","protein ORF133","ABG42960.1"
"356","cds-ABG42961.1_229514.229885","CDS",229514,229885,"minus","cds-ABG42961.1","gene-CyHV3_ORF134","NCBI_GP:ABG42961.1","ABG42961.1",NA,"CyHV3_ORF134","interleukin-10","ABG42961.1"
"357","cds-ABG42961.1_229262.229429","CDS",229262,229429,"minus","cds-ABG42961.1","gene-CyHV3_ORF134","NCBI_GP:ABG42961.1","ABG42961.1",NA,"CyHV3_ORF134","interleukin-10","ABG42961.1"
"360","cds-ABG42962.1_230127.231221","CDS",230127,231221,"plus","cds-ABG42962.1","gene-CyHV3_ORF135","NCBI_GP:ABG42962.1","ABG42962.1","possibly ORF2 family","CyHV3_ORF135","protein ORF135","ABG42962.1"
"363","cds-ABG42963.1_231339.231800","CDS",231339,231800,"plus","cds-ABG42963.1","gene-CyHV3_ORF136","NCBI_GP:ABG42963.1","ABG42963.1",NA,"CyHV3_ORF136","membrane protein ORF136","ABG42963.1"
"366","cds-ABG42965.1_233937.235115","CDS",233937,235115,"minus","cds-ABG42965.1","gene-CyHV3_ORF138","NCBI_GP:ABG42965.1","ABG42965.1",NA,"CyHV3_ORF138","membrane protein ORF138","ABG42965.1"
"368","cds-ABG42964.1_232003.233823","CDS",232003,233823,"minus","cds-ABG42964.1","gene-CyHV3_ORF137","NCBI_GP:ABG42964.1","ABG42964.1","ORF22 family","CyHV3_ORF137","protein ORF137","ABG42964.1"
"371","cds-ABG42966.1_238362.242510","CDS",238362,242510,"minus","cds-ABG42966.1","gene-CyHV3_ORF139","NCBI_GP:ABG42966.1","ABG42966.1",NA,"CyHV3_ORF139","membrane protein ORF139","ABG42966.1"
"372","cds-ABG42966.1_235361.238291","CDS",235361,238291,"minus","cds-ABG42966.1","gene-CyHV3_ORF139","NCBI_GP:ABG42966.1","ABG42966.1",NA,"CyHV3_ORF139","membrane protein ORF139","ABG42966.1"
"375","cds-ABG42967.1_242781.243482","CDS",242781,243482,"plus","cds-ABG42967.1","gene-CyHV3_ORF140","NCBI_GP:ABG42967.1","ABG42967.1",NA,"CyHV3_ORF140","thymidylate kinase","ABG42967.1"
"378","cds-ABG42968.1_243613.246033","CDS",243613,246033,"minus","cds-ABG42968.1","gene-CyHV3_ORF141","NCBI_GP:ABG42968.1","ABG42968.1",NA,"CyHV3_ORF141","ribonucleotide reductase subunit 1","ABG42968.1"
"381","cds-ABG42969.1_246266.246778","CDS",246266,246778,"minus","cds-ABG42969.1","gene-CyHV3_ORF142","NCBI_GP:ABG42969.1","ABG42969.1",NA,"CyHV3_ORF142","protein ORF142","ABG42969.1"
"384","cds-ABG42971.1_248059.248934","CDS",248059,248934,"minus","cds-ABG42971.1","gene-CyHV3_ORF144","NCBI_GP:ABG42971.1","ABG42971.1","RING family","CyHV3_ORF144","protein ORF144","ABG42971.1"
"386","cds-ABG42970.1_247040.247975","CDS",247040,247975,"minus","cds-ABG42970.1","gene-CyHV3_ORF143","NCBI_GP:ABG42970.1","ABG42970.1",NA,"CyHV3_ORF143","protein ORF143","ABG42970.1"
"389","cds-ABG42972.1_249114.251624","CDS",249114,251624,"minus","cds-ABG42972.1","gene-CyHV3_ORF145","NCBI_GP:ABG42972.1","ABG42972.1",NA,"CyHV3_ORF145","protein ORF145","ABG42972.1"
"392","cds-ABG42975.1_253956.255779","CDS",253956,255779,"minus","cds-ABG42975.1","gene-CyHV3_ORF148","NCBI_GP:ABG42975.1","ABG42975.1","ORF25 family","CyHV3_ORF148","membrane protein ORF148","ABG42975.1"
"394","cds-ABG42974.1_253031.253810","CDS",253031,253810,"minus","cds-ABG42974.1","gene-CyHV3_ORF147","NCBI_GP:ABG42974.1","ABG42974.1",NA,"CyHV3_ORF147","protein ORF147","ABG42974.1"
"396","cds-ABG42973.1_251911.252909","CDS",251911,252909,"minus","cds-ABG42973.1","gene-CyHV3_ORF146","NCBI_GP:ABG42973.1","ABG42973.1",NA,"CyHV3_ORF146","membrane protein ORF146","ABG42973.1"
"399","cds-ABG42976.1_255936.257996","CDS",255936,257996,"minus","cds-ABG42976.1","gene-CyHV3_ORF149","NCBI_GP:ABG42976.1","ABG42976.1","ORF25 family","CyHV3_ORF149","membrane protein ORF149","ABG42976.1"
"402","cds-ABG42977.1_258345.260231","CDS",258345,260231,"plus","cds-ABG42977.1","gene-CyHV3_ORF150","NCBI_GP:ABG42977.1","ABG42977.1","RING family","CyHV3_ORF150","protein ORF150","ABG42977.1"
"405","cds-ABG42978.1_260552.261508","CDS",260552,261508,"plus","cds-ABG42978.1","gene-CyHV3_ORF151","NCBI_GP:ABG42978.1","ABG42978.1",NA,"CyHV3_ORF151","protein ORF151","ABG42978.1"
"408","cds-ABG42979.1_261832.263451","CDS",261832,263451,"plus","cds-ABG42979.1","gene-CyHV3_ORF152","NCBI_GP:ABG42979.1","ABG42979.1",NA,"CyHV3_ORF152","protein ORF152","ABG42979.1"
"411","cds-ABG42980.1_263756.264427","CDS",263756,264427,"plus","cds-ABG42980.1","gene-CyHV3_ORF153","NCBI_GP:ABG42980.1","ABG42980.1","ORF153 family","CyHV3_ORF153","membrane protein ORF153","ABG42980.1"
"414","cds-ABG42981.1_264821.265162","CDS",264821,265162,"minus","cds-ABG42981.1","gene-CyHV3_ORF154","NCBI_GP:ABG42981.1","ABG42981.1",NA,"CyHV3_ORF154","protein ORF154","ABG42981.1"
"417","cds-ABG42982.1_265938.270469","CDS",265938,270469,"minus","cds-ABG42982.1","gene-CyHV3_ORF155","NCBI_GP:ABG42982.1","ABG42982.1",NA,"CyHV3_ORF155","protein ORF155","ABG42982.1"
"418","cds-ABG42982.1_265486.265825","CDS",265486,265825,"minus","cds-ABG42982.1","gene-CyHV3_ORF155","NCBI_GP:ABG42982.1","ABG42982.1",NA,"CyHV3_ORF155","protein ORF155","ABG42982.1"
"421","cds-ABG42983.1_270919.272424","CDS",270919,272424,"minus","cds-ABG42983.1","gene-CyHV3_ORF156","NCBI_GP:ABG42983.1","ABG42983.1",NA,"CyHV3_ORF156","protein ORF156","ABG42983.1"
"426","cds-ABG42984.1_273103.273876","CDS",273103,273876,"plus","cds-ABG42984.1","gene-CyHV3_ORF1_2","NCBI_GP:ABG42984.1","ABG42984.1",NA,"CyHV3_ORF1_2","protein ORF1","ABG42984.1"
"429","cds-ABG42985.1_274312.276180","CDS",274312,276180,"minus","cds-ABG42985.1","gene-CyHV3_ORF2_2","NCBI_GP:ABG42985.1","ABG42985.1","ORF2 family","CyHV3_ORF2_2","protein ORF2","ABG42985.1"
"432","cds-ABG42986.1_276976.279591","CDS",276976,279591,"plus","cds-ABG42986.1","gene-CyHV3_ORF3_2","NCBI_GP:ABG42986.1","ABG42986.1","possibly ORF2 family","CyHV3_ORF3_2","protein ORF3","ABG42986.1"
"435","cds-ABG42987.1_280063.281004","CDS",280063,281004,"plus","cds-ABG42987.1","gene-CyHV3_ORF4_2","NCBI_GP:ABG42987.1","ABG42987.1","TNFR family","CyHV3_ORF4_2","protein ORF4","ABG42987.1"
"438","cds-ABG42988.1_281283.282626","CDS",281283,282626,"plus","cds-ABG42988.1","gene-CyHV3_ORF5_2","NCBI_GP:ABG42988.1","ABG42988.1",NA,"CyHV3_ORF5_2","protein ORF5","ABG42988.1"
"441","cds-ABG42989.2_284652.286431","CDS",284652,286431,"minus","cds-ABG42989.2","gene-CyHV3_ORF6_2","NCBI_GP:ABG42989.2","ABG42989.2",NA,"CyHV3_ORF6_2","protein ORF6","ABG42989.2"
"442","cds-ABG42989.2_284168.284565","CDS",284168,284565,"minus","cds-ABG42989.2","gene-CyHV3_ORF6_2","NCBI_GP:ABG42989.2","ABG42989.2",NA,"CyHV3_ORF6_2","protein ORF6","ABG42989.2"
"445","cds-ABG42991.1_290526.291395","CDS",290526,291395,"minus","cds-ABG42991.1","gene-CyHV3_ORF8_2","NCBI_GP:ABG42991.1","ABG42991.1",NA,"CyHV3_ORF8_2","protein ORF8","ABG42991.1"
"447","cds-ABG42990.1_288893.290174","CDS",288893,290174,"minus","cds-ABG42990.1","gene-CyHV3_ORF7_2","NCBI_GP:ABG42990.1","ABG42990.1",NA,"CyHV3_ORF7_2","protein ORF7","ABG42990.1"
"448","cds-ABG42990.1_287541.288685","CDS",287541,288685,"minus","cds-ABG42990.1","gene-CyHV3_ORF7_2","NCBI_GP:ABG42990.1","ABG42990.1",NA,"CyHV3_ORF7_2","protein ORF7","ABG42990.1"
